SECTION,Division,Group,Class,Sub Class,Lowest Code,Full Code,Description,Section Description,Division Description,Group Description,Class Description,Sub Class Description,Broad Industry Group
A,NA,NA,NA,NA,A,NA,"AGRICULTURE, FORESTRY AND FISHING","AGRICULTURE, FORESTRY AND FISHING",NA,NA,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,NA,NA,NA,01,01000,"Crop and animal production, hunting and related service activities","AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",NA,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,NA,NA,01.1,01100,Growing of non-perennial crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.11,NA,01.11,01110,"Growing of cereals (except rice), leguminous crops and oil seeds","AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,"Growing of cereals (except rice), leguminous crops and oil seeds",NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.12,NA,01.12,01120,Growing of rice,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of rice,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.13,NA,01.13,01130,"Growing of vegetables and melons, roots and tubers","AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,"Growing of vegetables and melons, roots and tubers",NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.14,NA,01.14,01140,Growing of sugar cane,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of sugar cane,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.15,NA,01.15,01150,Growing of tobacco,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of tobacco,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.16,NA,01.16,01160,Growing of fibre crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of fibre crops,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.1,01.19,NA,01.19,01190,Growing of other non-perennial crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of other non-perennial crops,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,NA,NA,01.2,01200,Growing of perennial crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.21,NA,01.21,01210,Growing of grapes,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of grapes,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.22,NA,01.22,01220,Growing of tropical and subtropical fruits,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of tropical and subtropical fruits,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.23,NA,01.23,01230,Growing of citrus fruits,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of citrus fruits,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.24,NA,01.24,01240,Growing of pome fruits and stone fruits,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of pome fruits and stone fruits,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.25,NA,01.25,01250,Growing of other tree and bush fruits and nuts,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of other tree and bush fruits and nuts,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.26,NA,01.26,01260,Growing of oleaginous fruits,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of oleaginous fruits,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.27,NA,01.27,01270,Growing of beverage crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of beverage crops,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.28,NA,01.28,01280,"Growing of spices, aromatic, drug and pharmaceutical crops","AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,"Growing of spices, aromatic, drug and pharmaceutical crops",NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.2,01.29,NA,01.29,01290,Growing of other perennial crops,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Growing of perennial crops,Growing of other perennial crops,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.3,NA,NA,01.3,01300,Plant propagation,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Plant propagation,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.3,01.30,NA,01.30,01300,Plant propagation,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Plant propagation,Plant propagation,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,NA,NA,01.4,01400,Animal production,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.41,NA,01.41,01410,Raising of dairy cattle,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of dairy cattle,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.42,NA,01.42,01420,Raising of other cattle and buffaloes,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of other cattle and buffaloes,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.43,NA,01.43,01430,Raising of horses and other equines,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of horses and other equines,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.44,NA,01.44,01440,Raising of camels and camelids,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of camels and camelids,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.45,NA,01.45,01450,Raising of sheep and goats,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of sheep and goats,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.46,NA,01.46,01460,Raising of swine/pigs,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of swine/pigs,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.47,NA,01.47,01470,Raising of poultry,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of poultry,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.4,01.49,NA,01.49,01490,Raising of other animals,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Animal production,Raising of other animals,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.5,NA,NA,01.5,01500,Mixed farming,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Mixed farming,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.5,01.50,NA,01.50,01500,Mixed farming,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Mixed farming,Mixed farming,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.6,NA,NA,01.6,01600,Support activities to agriculture and post-harvest crop activities,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Support activities to agriculture and post-harvest crop activities,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.6,01.61,NA,01.61,01610,Support activities for crop production,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Support activities to agriculture and post-harvest crop activities,Support activities for crop production,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.6,01.62,NA,01.62,01620,Support activities for animal production,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Support activities to agriculture and post-harvest crop activities,Support activities for animal production,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.6,01.62,01.62/1,01.62/1,01621,Farm animal boarding and care,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Support activities to agriculture and post-harvest crop activities,Support activities for animal production,Farm animal boarding and care,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.6,01.62,01.62/9,01.62/9,01629,Support activities for animal production (other than farm animal boarding and care) n.e.c.,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Support activities to agriculture and post-harvest crop activities,Support activities for animal production,Support activities for animal production (other than farm animal boarding and care) n.e.c.,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.6,01.63,NA,01.63,01630,Post-harvest crop activities,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Support activities to agriculture and post-harvest crop activities,Post-harvest crop activities,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.6,01.64,NA,01.64,01640,Seed processing for propagation,"AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities",Support activities to agriculture and post-harvest crop activities,Seed processing for propagation,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.7,NA,NA,01.7,01700,"Hunting, trapping and related service activities","AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities","Hunting, trapping and related service activities",NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,01,01.7,01.70,NA,01.70,01700,"Hunting, trapping and related service activities","AGRICULTURE, FORESTRY AND FISHING","Crop and animal production, hunting and related service activities","Hunting, trapping and related service activities","Hunting, trapping and related service activities",NA,"AGRICULTURE, FORESTRY AND FISHING"
A,02,NA,NA,NA,02,02000,Forestry and logging,"AGRICULTURE, FORESTRY AND FISHING",Forestry and logging,NA,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,02,02.1,NA,NA,02.1,02100,Silviculture and other forestry activities,"AGRICULTURE, FORESTRY AND FISHING",Forestry and logging,Silviculture and other forestry activities,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,02,02.1,02.10,NA,02.10,02100,Silviculture and other forestry activities,"AGRICULTURE, FORESTRY AND FISHING",Forestry and logging,Silviculture and other forestry activities,Silviculture and other forestry activities,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,02,02.2,NA,NA,02.2,02200,Logging,"AGRICULTURE, FORESTRY AND FISHING",Forestry and logging,Logging,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,02,02.2,02.20,NA,02.20,02200,Logging,"AGRICULTURE, FORESTRY AND FISHING",Forestry and logging,Logging,Logging,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,02,02.3,NA,NA,02.3,02300,Gathering of wild growing non-wood products,"AGRICULTURE, FORESTRY AND FISHING",Forestry and logging,Gathering of wild growing non-wood products,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,02,02.3,02.30,NA,02.30,02300,Gathering of wild growing non-wood products,"AGRICULTURE, FORESTRY AND FISHING",Forestry and logging,Gathering of wild growing non-wood products,Gathering of wild growing non-wood products,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,02,02.4,NA,NA,02.4,02400,Support services to forestry,"AGRICULTURE, FORESTRY AND FISHING",Forestry and logging,Support services to forestry,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,02,02.4,02.40,NA,02.40,02400,Support services to forestry,"AGRICULTURE, FORESTRY AND FISHING",Forestry and logging,Support services to forestry,Support services to forestry,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,03,NA,NA,NA,03,03000,Fishing and aquaculture,"AGRICULTURE, FORESTRY AND FISHING",Fishing and aquaculture,NA,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,03,03.1,NA,NA,03.1,03100,Fishing,"AGRICULTURE, FORESTRY AND FISHING",Fishing and aquaculture,Fishing,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,03,03.1,03.11,NA,03.11,03110,Marine fishing,"AGRICULTURE, FORESTRY AND FISHING",Fishing and aquaculture,Fishing,Marine fishing,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,03,03.1,03.12,NA,03.12,03120,Freshwater fishing,"AGRICULTURE, FORESTRY AND FISHING",Fishing and aquaculture,Fishing,Freshwater fishing,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,03,03.2,NA,NA,03.2,03200,Aquaculture,"AGRICULTURE, FORESTRY AND FISHING",Fishing and aquaculture,Aquaculture,NA,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,03,03.2,03.21,NA,03.21,03210,Marine aquaculture,"AGRICULTURE, FORESTRY AND FISHING",Fishing and aquaculture,Aquaculture,Marine aquaculture,NA,"AGRICULTURE, FORESTRY AND FISHING"
A,03,03.2,03.22,NA,03.22,03220,Freshwater aquaculture,"AGRICULTURE, FORESTRY AND FISHING",Fishing and aquaculture,Aquaculture,Freshwater aquaculture,NA,"AGRICULTURE, FORESTRY AND FISHING"
B,NA,NA,NA,NA,B,NA,MINING AND QUARRYING,MINING AND QUARRYING,Fishing and aquaculture,Aquaculture,Freshwater aquaculture,NA,"Mining, quarrying & utilities"
B,05,NA,NA,NA,05,05000,Mining of coal and lignite,MINING AND QUARRYING,Mining of coal and lignite,NA,NA,NA,"Mining, quarrying & utilities"
B,05,05.1,NA,NA,05.1,05100,Mining of hard coal,MINING AND QUARRYING,Mining of coal and lignite,Mining of hard coal,NA,NA,"Mining, quarrying & utilities"
B,05,05.1,05.10,NA,05.10,05100,Mining of hard coal,MINING AND QUARRYING,Mining of coal and lignite,Mining of hard coal,Mining of hard coal,NA,"Mining, quarrying & utilities"
B,05,05.1,05.10,05.10/1,05.10/1,05101,Mining of hard coal from deep coal mines (underground mining),MINING AND QUARRYING,Mining of coal and lignite,Mining of hard coal,Mining of hard coal,Mining of hard coal from deep coal mines (underground mining),"Mining, quarrying & utilities"
B,05,05.1,05.10,05.10/2,05.10/2,05102,Mining of hard coal from open cast coal working (surface mining),MINING AND QUARRYING,Mining of coal and lignite,Mining of hard coal,Mining of hard coal,Mining of hard coal from open cast coal working (surface mining),"Mining, quarrying & utilities"
B,05,05.2,NA,NA,05.2,05200,Mining of lignite,MINING AND QUARRYING,Mining of coal and lignite,Mining of lignite,NA,NA,"Mining, quarrying & utilities"
B,05,05.2,05.20,NA,05.20,05200,Mining of lignite,MINING AND QUARRYING,Mining of coal and lignite,Mining of lignite,Mining of lignite,NA,"Mining, quarrying & utilities"
B,06,NA,NA,NA,06,06000,Extraction of crude petroleum and natural gas,MINING AND QUARRYING,Extraction of crude petroleum and natural gas,NA,NA,NA,"Mining, quarrying & utilities"
B,06,06.1,NA,NA,06.1,06100,Extraction of crude petroleum,MINING AND QUARRYING,Extraction of crude petroleum and natural gas,Extraction of crude petroleum,NA,NA,"Mining, quarrying & utilities"
B,06,06.1,06.10,NA,06.10,06100,Extraction of crude petroleum,MINING AND QUARRYING,Extraction of crude petroleum and natural gas,Extraction of crude petroleum,Extraction of crude petroleum,NA,"Mining, quarrying & utilities"
B,06,06.2,NA,NA,06.2,06200,Extraction of natural gas,MINING AND QUARRYING,Extraction of crude petroleum and natural gas,Extraction of natural gas,NA,NA,"Mining, quarrying & utilities"
B,06,06.2,06.20,NA,06.20,06200,Extraction of natural gas,MINING AND QUARRYING,Extraction of crude petroleum and natural gas,Extraction of natural gas,Extraction of natural gas,NA,"Mining, quarrying & utilities"
B,07,NA,NA,NA,07,07000,Mining of metal ores,MINING AND QUARRYING,Mining of metal ores,NA,NA,NA,"Mining, quarrying & utilities"
B,07,07.1,NA,NA,07.1,07100,Mining of iron ores,MINING AND QUARRYING,Mining of metal ores,Mining of iron ores,NA,NA,"Mining, quarrying & utilities"
B,07,07.1,07.10,NA,07.10,07100,Mining of iron ores,MINING AND QUARRYING,Mining of metal ores,Mining of iron ores,Mining of iron ores,NA,"Mining, quarrying & utilities"
B,07,07.2,NA,NA,07.2,07200,Mining of non-ferrous metal ores,MINING AND QUARRYING,Mining of metal ores,Mining of non-ferrous metal ores,NA,NA,"Mining, quarrying & utilities"
B,07,07.2,07.21,NA,07.21,07210,Mining of uranium and thorium ores,MINING AND QUARRYING,Mining of metal ores,Mining of non-ferrous metal ores,Mining of uranium and thorium ores,NA,"Mining, quarrying & utilities"
B,07,07.2,07.29,NA,07.29,07290,Mining of other non-ferrous metal ores,MINING AND QUARRYING,Mining of metal ores,Mining of non-ferrous metal ores,Mining of other non-ferrous metal ores,NA,"Mining, quarrying & utilities"
B,08,NA,NA,NA,08,08000,Other mining and quarrying,MINING AND QUARRYING,Other mining and quarrying,NA,NA,NA,"Mining, quarrying & utilities"
B,08,08.1,NA,NA,08.1,08100,"Quarrying of stone, sand and clay",MINING AND QUARRYING,Other mining and quarrying,"Quarrying of stone, sand and clay",NA,NA,"Mining, quarrying & utilities"
B,08,08.1,08.11,NA,08.11,08110,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",MINING AND QUARRYING,Other mining and quarrying,"Quarrying of stone, sand and clay","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",NA,"Mining, quarrying & utilities"
B,08,08.1,08.12,NA,08.12,08120,Operation of gravel and sand pits; mining of clays and kaolin,MINING AND QUARRYING,Other mining and quarrying,"Quarrying of stone, sand and clay",Operation of gravel and sand pits; mining of clays and kaolin,NA,"Mining, quarrying & utilities"
B,08,08.9,NA,NA,08.9,08900,Mining and quarrying n.e.c.,MINING AND QUARRYING,Other mining and quarrying,Mining and quarrying n.e.c.,NA,NA,"Mining, quarrying & utilities"
B,08,08.9,08.91,NA,08.91,08910,Mining of chemical and fertiliser minerals,MINING AND QUARRYING,Other mining and quarrying,Mining and quarrying n.e.c.,Mining of chemical and fertiliser minerals,NA,"Mining, quarrying & utilities"
B,08,08.9,08.92,NA,08.92,08920,Extraction of peat,MINING AND QUARRYING,Other mining and quarrying,Mining and quarrying n.e.c.,Extraction of peat,NA,"Mining, quarrying & utilities"
B,08,08.9,08.93,NA,08.93,08930,Extraction of salt,MINING AND QUARRYING,Other mining and quarrying,Mining and quarrying n.e.c.,Extraction of salt,NA,"Mining, quarrying & utilities"
B,08,08.9,08.99,NA,08.99,08990,Other mining and quarrying n.e.c.,MINING AND QUARRYING,Other mining and quarrying,Mining and quarrying n.e.c.,Other mining and quarrying n.e.c.,NA,"Mining, quarrying & utilities"
B,09,NA,NA,NA,09,09000,Mining support service activities,MINING AND QUARRYING,Mining support service activities,NA,NA,NA,"Mining, quarrying & utilities"
B,09,09.1,NA,NA,09.1,09100,Support activities for petroleum and natural gas extraction,MINING AND QUARRYING,Mining support service activities,Support activities for petroleum and natural gas extraction,NA,NA,"Mining, quarrying & utilities"
B,09,09.1,09.10,NA,09.10,09100,Support activities for petroleum and natural gas extraction,MINING AND QUARRYING,Mining support service activities,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,NA,"Mining, quarrying & utilities"
B,09,09.9,NA,NA,09.9,09900,Support activities for other mining and quarrying,MINING AND QUARRYING,Mining support service activities,Support activities for other mining and quarrying,NA,NA,"Mining, quarrying & utilities"
B,09,09.9,09.90,NA,09.90,09900,Support activities for other mining and quarrying,MINING AND QUARRYING,Mining support service activities,Support activities for other mining and quarrying,Support activities for other mining and quarrying,NA,"Mining, quarrying & utilities"
C,NA,NA,NA,NA,C,NA,MANUFACTURING,MANUFACTURING,Mining support service activities,Support activities for other mining and quarrying,Support activities for other mining and quarrying,NA,MANUFACTURING
C,10,NA,NA,NA,10,10000,Manufacture of food products,MANUFACTURING,Manufacture of food products,NA,NA,NA,MANUFACTURING
C,10,10.1,NA,NA,10.1,10100,Processing and preserving of meat and production of meat products,MANUFACTURING,Manufacture of food products,Processing and preserving of meat and production of meat products,NA,NA,MANUFACTURING
C,10,10.1,10.11,NA,10.11,10110,Processing and preserving of meat,MANUFACTURING,Manufacture of food products,Processing and preserving of meat and production of meat products,Processing and preserving of meat,NA,MANUFACTURING
C,10,10.1,10.12,NA,10.12,10120,Processing and preserving of poultry meat,MANUFACTURING,Manufacture of food products,Processing and preserving of meat and production of meat products,Processing and preserving of poultry meat,NA,MANUFACTURING
C,10,10.1,10.13,NA,10.13,10130,Production of meat and poultry meat products,MANUFACTURING,Manufacture of food products,Processing and preserving of meat and production of meat products,Production of meat and poultry meat products,NA,MANUFACTURING
C,10,10.2,NA,NA,10.2,10200,"Processing and preserving of fish, crustaceans and molluscs",MANUFACTURING,Manufacture of food products,"Processing and preserving of fish, crustaceans and molluscs",NA,NA,MANUFACTURING
C,10,10.2,10.20,NA,10.20,10200,"Processing and preserving of fish, crustaceans and molluscs",MANUFACTURING,Manufacture of food products,"Processing and preserving of fish, crustaceans and molluscs","Processing and preserving of fish, crustaceans and molluscs",NA,MANUFACTURING
C,10,10.3,NA,NA,10.3,10300,Processing and preserving of fruit and vegetables,MANUFACTURING,Manufacture of food products,Processing and preserving of fruit and vegetables,NA,NA,MANUFACTURING
C,10,10.3,10.31,NA,10.31,10310,Processing and preserving of potatoes,MANUFACTURING,Manufacture of food products,Processing and preserving of fruit and vegetables,Processing and preserving of potatoes,NA,MANUFACTURING
C,10,10.3,10.32,NA,10.32,10320,Manufacture of fruit and vegetable juice,MANUFACTURING,Manufacture of food products,Processing and preserving of fruit and vegetables,Manufacture of fruit and vegetable juice,NA,MANUFACTURING
C,10,10.3,10.39,NA,10.39,10390,Other processing and preserving of fruit and vegetables,MANUFACTURING,Manufacture of food products,Processing and preserving of fruit and vegetables,Other processing and preserving of fruit and vegetables,NA,MANUFACTURING
C,10,10.4,NA,NA,10.4,10400,Manufacture of vegetable and animal oils and fats,MANUFACTURING,Manufacture of food products,Manufacture of vegetable and animal oils and fats,NA,NA,MANUFACTURING
C,10,10.4,10.41,NA,10.41,10410,Manufacture of oils and fats,MANUFACTURING,Manufacture of food products,Manufacture of vegetable and animal oils and fats,Manufacture of oils and fats,NA,MANUFACTURING
C,10,10.4,10.42,NA,10.42,10420,Manufacture of margarine and similar edible fats,MANUFACTURING,Manufacture of food products,Manufacture of vegetable and animal oils and fats,Manufacture of margarine and similar edible fats,NA,MANUFACTURING
C,10,10.5,NA,NA,10.5,10500,Manufacture of dairy products,MANUFACTURING,Manufacture of food products,Manufacture of dairy products,NA,NA,MANUFACTURING
C,10,10.5,10.51,NA,10.51,10510,Operation of dairies and cheese making,MANUFACTURING,Manufacture of food products,Manufacture of dairy products,Operation of dairies and cheese making,NA,MANUFACTURING
C,10,10.5,10.51,10.51/1,10.51/1,10511,Liquid milk and cream production,MANUFACTURING,Manufacture of food products,Manufacture of dairy products,Operation of dairies and cheese making,Liquid milk and cream production,MANUFACTURING
C,10,10.5,10.51,10.51/2,10.51/2,10512,Butter and cheese production,MANUFACTURING,Manufacture of food products,Manufacture of dairy products,Operation of dairies and cheese making,Butter and cheese production,MANUFACTURING
C,10,10.5,10.51,10.51/9,10.51/9,10519,"Manufacture of milk products (other than liquid milk and cream, butter, cheese) n.e.c.",MANUFACTURING,Manufacture of food products,Manufacture of dairy products,Operation of dairies and cheese making,"Manufacture of milk products (other than liquid milk and cream, butter, cheese) n.e.c.",MANUFACTURING
C,10,10.5,10.52,NA,10.52,10520,Manufacture of ice cream,MANUFACTURING,Manufacture of food products,Manufacture of dairy products,Manufacture of ice cream,NA,MANUFACTURING
C,10,10.6,NA,NA,10.6,10600,"Manufacture of grain mill products, starches and starch products",MANUFACTURING,Manufacture of food products,"Manufacture of grain mill products, starches and starch products",NA,NA,MANUFACTURING
C,10,10.6,10.61,NA,10.61,10610,Manufacture of grain mill products,MANUFACTURING,Manufacture of food products,"Manufacture of grain mill products, starches and starch products",Manufacture of grain mill products,NA,MANUFACTURING
C,10,10.6,10.61,10.61/1,10.61/1,10611,Grain milling,MANUFACTURING,Manufacture of food products,"Manufacture of grain mill products, starches and starch products",Manufacture of grain mill products,Grain milling,MANUFACTURING
C,10,10.6,10.61,10.61/2,10.61/2,10612,Manufacture of breakfast cereals and cereals-based foods,MANUFACTURING,Manufacture of food products,"Manufacture of grain mill products, starches and starch products",Manufacture of grain mill products,Manufacture of breakfast cereals and cereals-based foods,MANUFACTURING
C,10,10.6,10.62,NA,10.62,10620,Manufacture of starches and starch products,MANUFACTURING,Manufacture of food products,"Manufacture of grain mill products, starches and starch products",Manufacture of starches and starch products,NA,MANUFACTURING
C,10,10.7,NA,NA,10.7,10700,Manufacture of bakery and farinaceous products,MANUFACTURING,Manufacture of food products,Manufacture of bakery and farinaceous products,NA,NA,MANUFACTURING
C,10,10.7,10.71,NA,10.71,10710,Manufacture of bread; manufacture of fresh pastry goods and cakes,MANUFACTURING,Manufacture of food products,Manufacture of bakery and farinaceous products,Manufacture of bread; manufacture of fresh pastry goods and cakes,NA,MANUFACTURING
C,10,10.7,10.72,NA,10.72,10720,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,MANUFACTURING,Manufacture of food products,Manufacture of bakery and farinaceous products,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,NA,MANUFACTURING
C,10,10.7,10.73,NA,10.73,10730,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",MANUFACTURING,Manufacture of food products,Manufacture of bakery and farinaceous products,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",NA,MANUFACTURING
C,10,10.8,NA,NA,10.8,10800,Manufacture of other food products,MANUFACTURING,Manufacture of food products,Manufacture of other food products,NA,NA,MANUFACTURING
C,10,10.8,10.81,NA,10.81,10810,Manufacture of sugar,MANUFACTURING,Manufacture of food products,Manufacture of other food products,Manufacture of sugar,NA,MANUFACTURING
C,10,10.8,10.82,NA,10.82,10820,"Manufacture of cocoa, chocolate and sugar confectionery",MANUFACTURING,Manufacture of food products,Manufacture of other food products,"Manufacture of cocoa, chocolate and sugar confectionery",NA,MANUFACTURING
C,10,10.8,10.82,10.82/1,10.82/1,10821,"Manufacture of cocoa, and chocolate confectionery",MANUFACTURING,Manufacture of food products,Manufacture of other food products,"Manufacture of cocoa, chocolate and sugar confectionery","Manufacture of cocoa, and chocolate confectionery",MANUFACTURING
C,10,10.8,10.82,10.82/2,10.82/2,10822,Manufacture of sugar confectionery,MANUFACTURING,Manufacture of food products,Manufacture of other food products,"Manufacture of cocoa, chocolate and sugar confectionery",Manufacture of sugar confectionery,MANUFACTURING
C,10,10.8,10.83,NA,10.83,10830,Processing of tea and coffee,MANUFACTURING,Manufacture of food products,Manufacture of other food products,Processing of tea and coffee,NA,MANUFACTURING
C,10,10.8,10.83,10.83/1,10.83/1,10831,Tea processing,MANUFACTURING,Manufacture of food products,Manufacture of other food products,Processing of tea and coffee,Tea processing,MANUFACTURING
C,10,10.8,10.83,10.83/2,10.83/2,10832,Production of coffee and coffee substitutes,MANUFACTURING,Manufacture of food products,Manufacture of other food products,Processing of tea and coffee,Production of coffee and coffee substitutes,MANUFACTURING
C,10,10.8,10.84,NA,10.84,10840,Manufacture of condiments and seasonings,MANUFACTURING,Manufacture of food products,Manufacture of other food products,Manufacture of condiments and seasonings,NA,MANUFACTURING
